id,name,state_id
1092,Nealtican,21
1093,Nejapa de Madero,20
1094,Nextlalpan,15
1095,Nezahualcóyotl,15
1096,Nicolás Bravo,21
1097,Nicolás Flores,13
1098,Nicolás Romero,15
1099,Nicolás Ruíz,7
1100,Nochistlán,32
1101,Nocupétaro,16
1102,Nogales,26
1103,Nogales,30
1104,Nombre de Dios,10
1105,Nonoava,8
1106,Nopala de Villagrán,13
1107,Nopaltepec,15
1108,Nopalucan,21
1109,Noria de ángeles,32
1110,Nuevo Casas Grandes,8
1111,Nuevo Ideal,10
1112,Nuevo Laredo,28
1113,Nuevo Morelos,28
1114,Nuevo Parangaricutiro,16
1115,Nuevo Urecho,16
1116,Nuevo Zoquiapam,20
1117,Numarán,16
1118,Oaxaca de Juárez,20
1119,Ocampo,28
1120,Ocampo,8
1121,Ocampo,10
1122,Ocampo,11
1123,Ocampo,5
1124,Ocampo,16
1125,Ocosingo,7
1126,Ocotepec,7
1127,Ocotepec,21
1128,Ocotlán,14
1129,Ocotlán de Morelos,20
1130,Ocoyoacac,15
1131,Ocoyucan,21
1132,Ocozocoautla de Espinosa,7
1133,Ocuilan,15
1134,Ocuituco,17
1135,Ojinaga,8
1136,Ojocaliente,32
1137,Ojuelos de Jalisco,14
1138,Olinalá,12
1139,Olintla,21
1140,Oluta,30
1141,Omealca,30
1142,Ometepec,12
1143,Omitlán de Juárez,13
1144,Onavas,26
1145,Opichén,31
1146,Opodepe,26
1147,Oquitoa,26
1148,Oriental,21
1149,Orizaba,30
1150,Ostuacán,7
1151,Osumacinta,7
1152,Otáez,10
1153,Otatitlán,30
1154,Oteapan,30
1155,Othón P. Blanco,23
1156,Otumba,15
1157,Otzoloapan,15
1158,Otzolotepec,15
1159,Oxchuc,7
1160,Oxkutzcab,31
